TSR,-5°,-4.5°,-4°,-3.5°,-3°,-2.5°,-2°,-1.5°,-1°,-0.5°,0°,0.5°,1°,1.5°,2°,2.5°,3°,3.5°,4°,4.5°,5°
1.412371149,0.0029,0.0035499999999999998,0.0042,0.00485,0.0055,0.0060999999999999995,0.0067,0.007350000000000001,0.008,0.0086,0.0092,0.009850000000000001,0.0105,0.01115,0.0118,0.01245,0.0131,0.0138,0.0145,0.01525,0.016
1.464681192,0.003,0.0037,0.0044,0.0051,0.0058,0.00645,0.0071,0.0078000000000000005,0.0085,0.00915,0.0098,0.010499999999999999,0.0112,0.011949999999999999,0.0127,0.01345,0.0142,0.015000000000000001,0.0158,0.01665,0.0175
1.521015084,0.0032,0.0039,0.0046,0.005350000000000001,0.0061,0.00685,0.0076,0.0083,0.009,0.0098,0.0106,0.011349999999999999,0.0121,0.01295,0.0138,0.0147,0.0156,0.0165,0.0174,0.0184,0.0194
1.647766341,0.0035,0.00435,0.0052,0.0060999999999999995,0.007,0.0079,0.0088,0.00975,0.0107,0.011699999999999999,0.0127,0.0138,0.0149,0.016,0.0171,0.018250000000000002,0.0194,0.02065,0.0219,0.0232,0.0245
1.647766341,0.0035,0.00435,0.0052,0.0060999999999999995,0.007,0.0079,0.0088,0.00975,0.0107,0.011699999999999999,0.0127,0.0138,0.0149,0.016,0.0171,0.018250000000000002,0.0194,0.02065,0.0219,0.0232,0.0245
1.647766341,0.0035,0.00435,0.0052,0.0060999999999999995,0.007,0.0079,0.0088,0.00975,0.0107,0.011699999999999999,0.0127,0.0138,0.0149,0.016,0.0171,0.018250000000000002,0.0194,0.02065,0.0219,0.0232,0.0245
1.647766341,0.0035,0.00435,0.0052,0.0060999999999999995,0.007,0.0079,0.0088,0.00975,0.0107,0.011699999999999999,0.0127,0.0138,0.0149,0.016,0.0171,0.018250000000000002,0.0194,0.02065,0.0219,0.0232,0.0245
1.75761743,0.0039,0.0049499999999999995,0.006,0.0071,0.0082,0.0093,0.0104,0.01165,0.0129,0.01415,0.0154,0.01675,0.0181,0.0195,0.0209,0.022350000000000002,0.0238,0.025300000000000003,0.0268,0.0284,0.03
1.797563281,0.0041,0.00525,0.0064,0.007549999999999999,0.0087,0.00995,0.0112,0.0125,0.0138,0.0152,0.0166,0.018000000000000002,0.0194,0.02095,0.0225,0.024050000000000002,0.0256,0.02725,0.0289,0.030600000000000002,0.0323
1.883161532,0.0048,0.0060999999999999995,0.0074,0.0088,0.0102,0.01165,0.0131,0.01465,0.0162,0.0178,0.0194,0.0211,0.0228,0.024550000000000002,0.0263,0.0281,0.0299,0.031849999999999996,0.0338,0.0358,0.0378
1.883161532,0.0048,0.0060999999999999995,0.0074,0.0088,0.0102,0.01165,0.0131,0.01465,0.0162,0.0178,0.0194,0.0211,0.0228,0.024550000000000002,0.0263,0.0281,0.0299,0.031849999999999996,0.0338,0.0358,0.0378
